TSTimePointResult
Time,Area South Texas Load MW,Area South Texas Load Mvar
111.000000,3064.7282,1263.9277
111.500000,3065.8978,1264.4791
112.000000,3067.2596,1265.1042
112.500000,3068.6920,1265.7606
113.000000,3069.9532,1266.3521
113.500000,3071.1365,1266.9057
114.000000,3072.5348,1267.5442
114.500000,3074.0000,1268.2154
115.000000,3075.1585,1268.7660
115.500000,3076.3762,1269.3325
116.000000,3077.7634,1269.9697
116.500000,3079.0489,1270.5721
117.000000,3080.1041,1271.0796
117.500000,3081.4035,1271.6784
118.000000,3082.7602,1272.3054
118.500000,3083.9861,1272.8830
119.000000,3085.1196,1273.4176
119.500000,3086.4130,1274.0157
120.000000,3087.7411,1274.6340
120.500000,3088.7537,1275.1245
121.000000,3090.0053,1275.7023
121.500000,3091.2956,1276.2984
122.000000,3092.5215,1276.8744
122.500000,3093.5476,1277.3660
123.000000,3094.7863,1277.9396
123.500000,3096.0970,1278.5467
124.000000,3097.1216,1279.0442
124.500000,3098.1571,1279.5393
125.000000,3099.3280,1280.0869
125.500000,3100.5371,1280.6554
126.000000,3101.6119,1281.1689
126.500000,3102.6340,1281.6585
127.000000,3103.8784,1282.2370
127.500000,3104.9526,1282.7528
128.000000,3106.0083,1283.2583
128.500000,3107.0671,1283.7601
129.000000,3108.3300,1284.3466
129.500000,3109.4259,1284.8717
130.000000,3110.3422,1285.3215
130.500000,3111.5576,1285.8822
131.000000,3112.7689,1286.4497
131.500000,3113.7440,1286.9251
132.000000,3114.5618,1287.3317
132.500000,3115.7190,1287.8720
133.000000,3116.7654,1288.3747
133.500000,3117.6376,1288.8068
134.000000,3118.5907,1289.2648
134.500000,3119.5265,1289.7223
135.000000,3120.3697,1290.1492
135.500000,3120.9778,1290.4796
136.000000,3121.7417,1290.8704
136.500000,3122.6612,1291.3293
137.000000,3123.1979,1291.6390
137.500000,3123.8512,1291.9873
138.000000,3124.6910,1292.4101
138.500000,3125.4738,1292.8186
139.000000,3125.9239,1293.0919
139.500000,3126.5413,1293.4253
140.000000,3127.4437,1293.8755
140.500000,3128.0836,1294.2248
141.000000,3128.6224,1294.5271
141.500000,3129.2822,1294.8755
142.000000,3130.0503,1295.2725
142.500000,3130.5151,1295.5507
143.000000,3131.0469,1295.8486
143.500000,3131.7307,1296.2079
144.000000,3132.4251,1296.5777
144.500000,3132.8596,1296.8415
145.000000,3133.4036,1297.1440
145.500000,3134.1745,1297.5393
146.000000,3134.7013,1297.8427
146.500000,3135.2118,1298.1347
147.000000,3135.7960,1298.4545
147.500000,3136.4294,1298.7979
148.000000,3136.9154,1299.0841
148.500000,3137.2917,1299.3238
149.000000,3137.8798,1299.6468
149.500000,3138.4565,1299.9688
150.000000,3138.8700,1300.2254
150.500000,3139.3652,1300.5060
151.000000,3139.9950,1300.8408
151.500000,3140.5886,1301.1671
152.000000,3140.9286,1301.3911
152.500000,3141.2762,1301.6128
153.000000,3141.9344,1301.9599
153.500000,3142.3872,1302.2307
154.000000,3142.6720,1302.4308
154.500000,3143.1292,1302.6944
155.000000,3143.6520,1302.9906
155.500000,3144.0447,1303.2375
156.000000,3144.2472,1303.4042
156.500000,3144.7317,1303.6811
157.000000,3145.1273,1303.9280
157.500000,3145.4430,1304.1418
158.000000,3145.7575,1304.3501
158.500000,3146.2872,1304.6462
159.000000,3146.7331,1304.9123
159.500000,3146.9084,1305.0696
160.000000,3147.2792,1305.3004
160.500000,3147.6965,1305.5509
161.000000,3147.9507,1305.7390
161.500000,3148.1174,1305.8877
162.000000,3148.3425,1306.0575
162.500000,3148.7432,1306.3001
163.000000,3148.8943,1306.4442
163.500000,3149.0547,1306.5876
164.000000,3149.3490,1306.7838
164.500000,3149.5651,1306.9509
165.000000,3149.6302,1307.0566
165.500000,3149.6851,1307.1558
166.000000,3149.7427,1307.2566
166.500000,3149.6273,1307.2883
167.000000,3149.4160,1307.2783
167.500000,3149.1852,1307.2558
168.000000,3148.7726,1307.1590
168.500000,3148.0190,1306.9214
169.000000,3146.9067,1306.5300
169.500000,3144.7065,1305.6955
170.000000,3140.4522,1304.0276
170.500000,3133.6998,1301.3605
171.000000,3123.2460,1297.1853
171.500000,3122.7232,1297.2075
172.000000,3153.0235,1309.8369
172.500000,3203.2425,1330.7336
173.000000,3162.7882,1314.3680
173.500000,3164.5876,1314.8334
174.000000,3148.5870,1308.4941
174.500000,3146.0812,1307.4837
175.000000,3143.0094,1306.4196
175.500000,3140.7742,1305.7060
176.000000,3135.3281,1303.6829
176.500000,3126.3479,1300.3220
177.000000,3125.4131,1300.0561
177.500000,3124.1390,1299.6627
178.000000,3129.1033,1301.6852
178.500000,3128.1122,1301.3903
179.000000,3126.5940,1300.8842
179.500000,3121.2667,1298.8828
180.000000,3112.7937,1295.6829
180.500000,3104.3833,1292.4985
181.000000,3095.3478,1289.0507
181.500000,3087.8668,1286.1730
182.000000,3080.2763,1283.2468
182.500000,3073.4407,1280.5827
183.000000,3063.6219,1276.6533
183.500000,3060.6234,1275.6316
184.000000,3090.9590,1288.2879
184.500000,3146.8855,1311.5835
185.000000,3114.0224,1298.2584
185.500000,3108.1551,1295.6767
186.000000,3079.7167,1284.4074
186.500000,3072.0100,1281.3667
187.000000,3069.1034,1280.4082
187.500000,3071.7951,1281.6300
188.000000,3073.0120,1282.1646
188.500000,3070.3354,1281.2330
189.000000,3070.1870,1281.2710
189.500000,3061.0981,1277.8313
190.000000,3054.4157,1275.3355
190.500000,3042.9239,1270.9628
191.000000,3035.1770,1268.0390
191.500000,3026.8641,1264.8879
192.000000,3020.9322,1262.6773
192.500000,3014.8952,1260.3688
193.000000,3007.8039,1257.6162
193.500000,2999.0355,1254.1586
194.000000,2982.3252,1247.5462
194.500000,2990.5567,1251.3083
195.000000,3043.2287,1273.3150
195.500000,3063.9912,1282.0795
196.000000,3028.8750,1267.5995
196.500000,3001.6960,1256.6067
197.000000,3007.3982,1258.9422
197.500000,3003.9545,1257.6635
198.000000,2994.2123,1253.9129
198.500000,2994.5501,1254.1679
199.000000,2987.6867,1251.6391
199.500000,2981.1657,1249.2491
200.000000,2968.0981,1244.2088
200.500000,2960.8429,1241.5003
201.000000,2953.5547,1238.7682
201.500000,2946.7154,1236.2114
202.000000,2941.2014,1234.1130
202.500000,2934.7576,1231.6418
203.000000,2927.4273,1228.8159
203.500000,2914.5041,1223.7312
204.000000,2892.8825,1215.1589
204.500000,2893.6789,1215.9605
205.000000,2936.9871,1234.1431
205.500000,2980.9574,1252.4609
206.000000,2938.6869,1235.0865
206.500000,2926.9159,1230.1731
207.000000,2924.6550,1229.3069
207.500000,2915.1350,1225.4798
208.000000,2904.6930,1221.4703
208.500000,2904.6247,1221.6383
209.000000,2892.8999,1217.1587
209.500000,2881.0926,1212.6670
210.000000,2869.9413,1208.3899
210.500000,2861.4580,1205.2253
211.000000,2854.3736,1202.5499
211.500000,2844.8175,1198.9013
212.000000,2837.9463,1196.2608
212.500000,2829.1685,1192.8773
213.000000,2817.1228,1188.1669
213.500000,2793.5816,1178.8095
214.000000,2775.8837,1172.0019
214.500000,2800.5995,1182.6033
215.000000,2871.0478,1211.9621
215.500000,2844.8494,1201.2718
216.000000,2836.0134,1197.4168
216.500000,2812.0047,1187.7522
217.000000,2805.7390,1185.1828
217.500000,2802.1610,1183.9568
218.000000,2793.8591,1180.7911
218.500000,2776.3437,1173.9098
219.000000,2762.1170,1168.4814
219.500000,2749.6288,1163.6827
220.000000,2729.2160,1155.7074
